OrderID,Tanggal,Nama Produk,Jumlah,Harga,Harga Unit,Sumber Order,Nama Pelanggan,Nomor WA,Keterangan
ORD101843,2025-04-14 00:00:00,Soup Sayur,1,20000,20000,Instagram,Nina Saputra,087116845775,
ORD101354,2025-04-12 00:00:00,Salad ayam,1,35000,35000,Instagram,Fajar Saputra,087288574489,
ORD100278,2025-06-25 00:00:00,Nasi Box Ayam,1,35000,35000,Instagram,Laras Wijaya,082694486959,
ORD102207,2025-06-30 00:00:00,Snack Box,2,50000,25000,Instagram,Putu Pratama,088416169284,
ORD101915,2025-09-06 00:00:00,Nasi box vegan,4,100000,25000,Instagram,Fajar Wicaksono,086365564729,
ORD101794,2025-09-11 00:00:00,Nasi box ayam,1,25000,25000,Instagram,Gita Permana,086884443106,
ORD101573,2025-07-28 00:00:00,Nasi box vegan,1,30000,30000,WhatsApp,Eka Permana,081491357759,
ORD100363,2025-07-23 00:00:00,Nasi box vegan,1,35000,35000,WhatsApp,Joko Kusuma,084519832731,
ORD102084,2025-05-11 00:00:00,Snack box,1,20000,20000,Instagram,Joko Harto,083699577738,
ORD100107,2025-07-02 00:00:00,Snack box,2,50000,25000,Instagram,Nina Wicaksono,085289539264,
ORD102442,2025-05-07 00:00:00,Nasi box vegan,1,25000,25000,WhatsApp,Citra Saputra,086687002176,
ORD101711,2025-08-14 00:00:00,Snack box,1,15000,15000,Instagram,Budi Kusuma,087289623091,ulang order
ORD101935,2025-07-23 00:00:00,Nasi Box Ayam,1,30000,30000,WhatsApp,Sari Putri,085135346554,
ORD101250,2025-04-04 00:00:00,Nasi Box Vegan,1,30000,30000,Instagram,Kiki Pratama,089428434795,
ORD101199,2025-09-13 00:00:00,Soup sayur,5,100000,20000,Instagram,Tono Santoso,082294131869,ulang order
ORD101314,2025-09-03 00:00:00,Nasi Box Vegan,1,25000,25000,WhatsApp,Ochi Harto,084431351823,
ORD100142,2025-04-24 00:00:00,Nasi box vegan,1,30000,30000,Instagram,Hadi Pratama,081585064317,
ORD101146,2025-09-11 00:00:00,SoupSayur,3,75000,25000,Instagram,Maya Permana,081779717751,
ORD101111,2025-06-27 00:00:00,Soup Sayur,1,20000,20000,WhatsApp,Gita Wijaya,081219656523,
ORD101904,2025-04-10 00:00:00,Soup Sayur,2,40000,20000,Instagram,Laras Pratama,082696582710,
ORD102348,2025-05-03 00:00:00,SoupSayur,5,125000,25000,Instagram,Tono Permana,081438663227,
ORD100240,2025-09-02 00:00:00,Nasi Box Ayam,4,100000,25000,WhatsApp,Ochi Harto,084431351823,
ORD101569,2025-05-15 00:00:00,Salad Ayam,1,40000,40000,WhatsApp,Rina Wijaya,082191361939,
ORD101462,2025-04-06 00:00:00,Snack Box,1,25000,25000,Instagram,Ika Permana,088156149784,
ORD102477,2025-04-07 00:00:00,SoupSayur,1,20000,20000,Instagram,Laras Kusuma,088262045053,
ORD100060,2025-04-04 00:00:00,snack box,1,15000,15000,Instagram,Maya Permana,081779717751,
ORD100842,2025-04-24 00:00:00,nasi box ayam,2,40000,20000,WhatsApp,Rina Harto,086022356972,
ORD101405,2025-06-30 00:00:00,Soup sayur,1,20000,20000,Instagram,Putu Santoso,082895171870,
ORD101799,2025-09-29 00:00:00,Nasi box vegan,3,75000,25000,WhatsApp,Putu Wicaksono,084348734714,
ORD101887,2025-04-12 00:00:00,snack box,2,40000,20000,WhatsApp,Sari Permana,083918785191,
ORD101731,2025-05-03 00:00:00,Soup sayur,2,40000,20000,WhatsApp,Dewi Kusuma,081485646799,promo code used
ORD101684,2025-06-16 00:00:00,Salad Ayam,1,30000,30000,Instagram,Fajar Saputra,089495888794,
ORD101125,2025-04-03 00:00:00,nasi box ayam,2,30000,15000,Instagram,Dewi Wicaksono,082233206163,
ORD101986,2025-04-16 00:00:00,SoupSayur,1,25000,25000,Instagram,Hadi Permana,089596292330,
ORD100564,2025-06-27 00:00:00,Soup Sayur,1,20000,20000,Instagram,Putu Budiyanto,080913431611,
ORD102139,2025-06-13 00:00:00,Soup Sayur,1,25000,25000,Instagram,Tono Wijaya,088033974014,
ORD100529,2025-05-25 00:00:00,Nasi box vegan,2,50000,25000,Instagram,Eka Santoso,085061497310,
ORD100707,2025-07-26 00:00:00,Nasi Box Ayam,2,70000,35000,WhatsApp,Ochi Putri,086284987769,
ORD100014,2025-08-23 00:00:00,SALAD AYAM,1,15000,15000,Instagram,Ochi Pratama,084691373678,
ORD102012,2025-06-03 00:00:00,Soup Sayur,1,20000,20000,Instagram,Ochi Harto,087407482175,
ORD100204,2025-08-30 00:00:00,Nasi Box Vegan,1,30000,30000,Instagram,Rina Saputra,087749649909,
ORD100827,2025-09-26 00:00:00,SALAD AYAM,1,20000,20000,WhatsApp,Budi Kusuma,088050097882,
ORD101835,2025-05-18 00:00:00,Snack box,4,80000,20000,Instagram,Andi Harto,086184992618,
ORD100084,2025-07-16 00:00:00,snack box,1,25000,25000,Instagram,Rina Saputra,087749649909,
ORD102160,2025-08-09 00:00:00,SoupSayur,1,25000,25000,Instagram,Kiki Kusuma,080515186449,
ORD100958,2025-06-20 00:00:00,Snack Box,3,60000,20000,WhatsApp,Dewi Pratama,084303911718,catatan: pesan khusus
ORD100504,2025-05-31 00:00:00,Salad Ayam,1,40000,40000,Instagram,Andi Harto,083006848666,
ORD101228,2025-04-20 00:00:00,Soup Sayur,1,20000,20000,WhatsApp,Eka Wicaksono,085304637454,ulang order
ORD100230,2025-09-28 00:00:00,Soup sayur,1,20000,20000,Instagram,Maya Permana,081779717751,
ORD101298,2025-04-27 00:00:00,Soup Sayur,2,50000,25000,Instagram,Uli Kusuma,085604661839,
ORD102389,2025-07-25 00:00:00,Soup sayur,1,20000,20000,WhatsApp,Putu Putri,085135521570,ulang order
ORD102109,2025-08-16 00:00:00,Nasi Box Vegan,2,50000,25000,Instagram,Eka Saputra,088018242253,
ORD101907,2025-04-11 00:00:00,Nasi Box Vegan,1,35000,35000,Instagram,Hadi Saputra,082266093796,
ORD101463,2025-06-30 00:00:00,Snack Box,1,20000,20000,Instagram,Fajar Kusuma,084057202590,ulang order
ORD102337,2025-08-17 00:00:00,Nasi box ayam,1,30000,30000,Instagram,Gita Kusuma,086907844736,
ORD100587,2025-04-27 00:00:00,Nasi Box Vegan,2,70000,35000,Instagram,Fajar Harto,084204380571,
ORD101991,2025-05-19 00:00:00,NasiBoxAyam,3,75000,25000,Instagram,Laras Pratama,082312432921,promo code used
ORD100956,2025-09-10 00:00:00,Nasi box vegan,1,35000,35000,Instagram,Andi Kusuma,089861622999,
ORD100711,2025-06-20 00:00:00,Nasi Box Ayam,3,90000,30000,WhatsApp,Joko Budiyanto,082366299468,
ORD101532,2025-09-11 00:00:00,Nasi box vegan,2,50000,25000,Instagram,Hadi Harto,083333952111,catatan: pesan khusus
ORD102392,2025-05-21 00:00:00,nasi box ayam,2,40000,20000,Instagram,Tono Permana,087452991241,promo code used
ORD102094,2025-07-13 00:00:00,Salad Ayam,3,90000,30000,Instagram,Citra Wicaksono,080462265676,
ORD101454,2025-05-03 00:00:00,Snack Box,1,20000,20000,WhatsApp,Andi Pratama,083494937597,
ORD101664,2025-08-02 00:00:00,nasi box ayam,2,40000,20000,Instagram,Ochi Pratama,084691373678,
ORD101330,2025-06-30 00:00:00,Salad ayam,3,90000,30000,Instagram,Maya Wijaya,082034717545,
ORD101852,2025-04-19 00:00:00,SoupSayur,1,25000,25000,Instagram,Maya Santoso,086474687234,
ORD100646,2025-09-28 00:00:00,Soup sayur,1,25000,25000,Instagram,Sari Harto,081241182449,
ORD100004,2025-07-25 00:00:00,SALAD AYAM,1,15000,15000,Instagram,Laras Harto,081199867980,
ORD102289,2025-07-25 00:00:00,Salad Ayam,1,40000,40000,Instagram,Eka Putri,080969029593,
ORD101903,2025-05-22 00:00:00,Nasi box ayam,1,25000,25000,Instagram,Nina Wijaya,088324210249,
ORD101196,2025-04-28 00:00:00,SoupSayur,1,20000,20000,WhatsApp,Sari Harto,086081062003,
ORD100093,2025-09-05 00:00:00,Nasi box vegan,1,25000,25000,Instagram,Gita Permana,086884443106,
ORD101884,2025-04-13 00:00:00,Soup sayur,2,50000,25000,Instagram,Tono Wijaya,088033974014,
ORD100891,2025-07-31 00:00:00,Nasi Box Vegan,1,25000,25000,Instagram,Tono Permana,081438663227,
ORD100037,2025-08-19 00:00:00,Soup sayur,1,20000,20000,WhatsApp,Sari Budiyanto,083171210032,
ORD101537,2025-05-08 00:00:00,Nasi box vegan,2,50000,25000,WhatsApp,Putu Pratama,088416169284,
ORD102162,2025-05-01 00:00:00,nasi box ayam,2,30000,15000,Instagram,Laras Santoso,085415667652,
ORD101873,2025-06-01 00:00:00,Snack box,1,25000,25000,WhatsApp,Tono Permana,081034131647,
ORD101355,2025-06-14 00:00:00,nasi box ayam,3,45000,15000,WhatsApp,Putu Putri,085135521570,
ORD102476,2025-08-17 00:00:00,Salad Ayam,5,150000,30000,Instagram,Rina Permana,088578652785,
ORD102321,2025-08-20 00:00:00,Nasi box vegan,4,100000,25000,WhatsApp,Citra Permana,086111554262,
ORD100929,2025-06-26 00:00:00,SoupSayur,2,50000,25000,WhatsApp,Citra Budiyanto,089092753269,
ORD100825,2025-09-01 00:00:00,Soup Sayur,2,40000,20000,WhatsApp,Gita Budiyanto,087262473178,
ORD101157,2025-08-18 00:00:00,Nasi box ayam,1,25000,25000,WhatsApp,Andi Kusuma,088215064890,
ORD102152,2025-07-02 00:00:00,Nasi box vegan,1,30000,30000,Instagram,Budi Putri,081355690927,
ORD102497,2025-08-23 00:00:00,SoupSayur,1,25000,25000,Instagram,Dewi Wijaya,083055488510,
ORD101142,2025-09-18 00:00:00,SoupSayur,5,125000,25000,Instagram,Nina Santoso,084223253672,
ORD101526,2025-07-11 00:00:00,Nasi Box Ayam,1,25000,25000,Instagram,Tono Permana,080103105183,
ORD100615,2025-04-22 00:00:00,Salad Ayam,1,40000,40000,WhatsApp,Budi Permana,080548687403,
ORD100069,2025-09-16 00:00:00,nasi box ayam,1,25000,25000,WhatsApp,Ochi Putri,083184322259,
ORD100586,2025-06-15 00:00:00,SoupSayur,1,20000,20000,WhatsApp,Laras Kusuma,083327279568,
ORD100356,2025-08-13 00:00:00,Snack box,1,15000,15000,Instagram,Maya Kusuma,081463031617,
ORD102049,2025-09-19 00:00:00,Soup sayur,5,125000,25000,Instagram,Citra Harto,085089935889,
ORD100585,2025-08-03 00:00:00,Soup Sayur,1,20000,20000,Instagram,Ochi Harto,084905814770,
ORD101006,2025-05-18 00:00:00,NasiBoxAyam,1,30000,30000,Instagram,Ochi Pratama,084691373678,
ORD100601,2025-08-05 00:00:00,Salad Ayam,1,35000,35000,Instagram,Nina Putri,083445655743,
ORD102294,2025-08-07 00:00:00,Snack box,1,20000,20000,Instagram,Joko Wicaksono,086870146263,
ORD102180,2025-09-26 00:00:00,Nasi Box Vegan,1,25000,25000,Instagram,Citra Harto,085623285884,
ORD101972,2025-08-28 00:00:00,Nasi Box Vegan,1,30000,30000,Instagram,Fajar Pratama,086527047743,
ORD102168,2025-08-20 00:00:00,Salad ayam,2,60000,30000,Instagram,Citra Pratama,082064361103,
ORD100221,2025-07-13 00:00:00,Nasi box ayam,2,60000,30000,WhatsApp,Maya Santoso,085297516136,
ORD100614,,Snack box,1,15000,15000,Instagram,Maya Permana,081779717751,
ORD100784,2025-07-25 00:00:00,Nasi Box Vegan,1,30000,30000,Instagram,Laras Harto,086156793341,ulang order
ORD100556,2025-07-12 00:00:00,Salad Ayam,1,30000,30000,WhatsApp,Gita Permana,084123281206,
ORD101730,2025-04-26 00:00:00,Nasi Box Ayam,1,30000,30000,Instagram,Dewi Wijaya,085447962757,
ORD100739,2025-07-29 00:00:00,SoupSayur,1,20000,20000,WhatsApp,Gita Pratama,085609320489,
ORD102361,2025-09-12 00:00:00,NasiBoxAyam,1,35000,35000,WhatsApp,Nina Wicaksono,080656272980,
ORD100501,2025-06-19 00:00:00,Nasi Box Vegan,4,100000,25000,Instagram,Maya Pratama,089916247314,
ORD100671,2025-09-30 00:00:00,Nasi Box Ayam,3,90000,30000,Instagram,Andi Pratama,083494937597,ulang order
ORD100598,2025-07-30 00:00:00,Snack Box,2,40000,20000,Instagram,Tono Permana,080848872563,
ORD100265,2025-07-20 00:00:00,SoupSayur,1,25000,25000,WhatsApp,Joko Budiyanto,082366299468,
ORD101823,2025-07-22 00:00:00,snack box,3,45000,15000,Instagram,Eka Permana,081491357759,
ORD100456,2025-08-08 00:00:00,Nasi Box Ayam,5,125000,25000,WhatsApp,Andi Pratama,085169409749,
ORD101787,2025-06-16 00:00:00,Nasi Box Ayam,2,70000,35000,WhatsApp,Tono Pratama,086213721386,
ORD101131,2025-06-11 00:00:00,Soup Sayur,1,20000,20000,WhatsApp,Sari Pratama,086218501631,
ORD100101,2025-07-30 00:00:00,Nasi Box Ayam,1,25000,25000,Instagram,Laras Putri,082885158799,
ORD101068,2025-06-09 00:00:00,snack box,4,100000,25000,Instagram,Maya Harto,080376137918,
ORD101279,2025-09-21 00:00:00,snack box,2,40000,20000,WhatsApp,Fajar Wijaya,087525007432,
ORD101124,2025-09-12 00:00:00,Nasi Box Ayam,1,25000,25000,Instagram,Uli Kusuma,085604661839,
ORD100364,2025-05-30 00:00:00,Snack box,1,15000,15000,WhatsApp,Maya Permana,086887258874,
ORD101424,2025-07-19 00:00:00,Salad Ayam,2,70000,35000,Instagram,Laras Saputra,081595148465,
ORD102233,2025-04-17 00:00:00,NasiBoxAyam,1,30000,30000,Instagram,Ochi Harto,087407482175,
ORD101885,2025-06-30 00:00:00,Soup sayur,1,25000,25000,WhatsApp,Maya Wijaya,082034717545,
ORD100095,2025-07-15 00:00:00,SALAD AYAM,1,25000,25000,Instagram,Laras Wicaksono,088713315098,
ORD101867,2025-07-23 00:00:00,Nasi Box Ayam,1,35000,35000,WhatsApp,Nina Pratama,089401399049,
ORD100645,2025-05-12 00:00:00,nasi box ayam,1,15000,15000,Instagram,Maya Permana,086887258874,
ORD101322,2025-05-15 00:00:00,Salad ayam,2,60000,30000,Instagram,Kiki Pratama,089428434795,
ORD101011,2025-09-05 00:00:00,NasiBoxAyam,1,35000,35000,Instagram,Maya Permana,086887258874,promo code used
ORD102171,2025-09-05 00:00:00,Salad Ayam,2,60000,30000,Instagram,Hadi Wicaksono,089473834735,
ORD101811,2025-04-11 00:00:00,Salad ayam,1,40000,40000,Instagram,Hadi Kusuma,085590599293,
ORD101508,2025-04-27 00:00:00,nasi box ayam,1,15000,15000,Instagram,Kiki Kusuma,089706296201,
ORD101476,2025-09-15 00:00:00,SoupSayur,1,25000,25000,WhatsApp,Joko Santoso,085411526218,
ORD100765,2025-05-16 00:00:00,Soup Sayur,1,25000,25000,Instagram,Fajar Wijaya,083348039652,
ORD100236,2025-08-03 00:00:00,Nasi Box Vegan,2,60000,30000,Instagram,Gita Kusuma,080053293183,
ORD101310,2025-09-28 00:00:00,Soup sayur,1,20000,20000,Instagram,Citra Wicaksono,080462265676,catatan: pesan khusus
ORD102317,2025-04-10 00:00:00,Soup Sayur,1,20000,20000,WhatsApp,Sari Kusuma,080260127961,
ORD100940,2025-08-14 00:00:00,Soup Sayur,3,60000,20000,Instagram,Citra Budiyanto,085188888067,
ORD102310,2025-05-12 00:00:00,nasi box ayam,3,45000,15000,Instagram,Citra Budiyanto,085188888067,
ORD102184,2025-07-09 00:00:00,SoupSayur,1,20000,20000,Instagram,Citra Putri,086788861015,
ORD101393,2025-09-14 00:00:00,Salad ayam,1,35000,35000,WhatsApp,Kiki Pratama,086258815371,
ORD102130,2025-05-25 00:00:00,Nasi box ayam,1,25000,25000,Instagram,Laras Kusuma,083327279568,
ORD102056,2025-07-10 00:00:00,SoupSayur,4,80000,20000,Instagram,Maya Putri,082444721264,
ORD102183,2025-08-23 00:00:00,NasiBoxAyam,1,35000,35000,Instagram,Nina Wijaya,088324210249,catatan: pesan khusus
ORD101266,2025-05-19 00:00:00,Nasi Box Ayam,2,60000,30000,WhatsApp,Fajar Saputra,087288574489,
ORD100068,2025-04-27 00:00:00,nasi box ayam,2,40000,20000,Instagram,Tono Kusuma,087278755886,
ORD101453,2025-07-28 00:00:00,Salad ayam,1,35000,35000,Instagram,Fajar Wicaksono,086365564729,
ORD101076,2025-08-15 00:00:00,Soup Sayur,1,20000,20000,WhatsApp,Maya Saputra,085061809190,
ORD102272,2025-04-09 00:00:00,Snack box,4,80000,20000,Instagram,Fajar Santoso,085930407859,
ORD101080,2025-04-16 00:00:00,snack box,1,25000,25000,Instagram,Sari Permana,086134074517,
ORD101851,2025-04-02 00:00:00,SoupSayur,4,80000,20000,Instagram,Fajar Wicaksono,088681447394,
ORD102273,2025-08-06 00:00:00,Soup Sayur,1,20000,20000,Instagram,Maya Santoso,084817549651,
ORD100477,2025-09-11 00:00:00,Soup sayur,2,50000,25000,Instagram,Budi Putri,081355690927,
ORD102004,2025-06-26 00:00:00,Nasi Box Vegan,4,120000,30000,Instagram,Citra Budiyanto,087072867908,
ORD102367,2025-06-12 00:00:00,Salad Ayam,1,40000,40000,WhatsApp,Laras Kusuma,086401658202,
ORD102290,2025-05-29 00:00:00,Nasi Box Vegan,1,25000,25000,WhatsApp,Ika Kusuma,087334843443,
ORD102161,2025-09-08 00:00:00,Soup Sayur,1,20000,20000,Instagram,Dewi Harto,087859696915,
ORD101488,2025-08-06 00:00:00,Salad ayam,3,90000,30000,Instagram,Laras Kusuma,088262045053,
ORD102471,2025-09-11 00:00:00,Nasi box vegan,1,30000,30000,Instagram,Putu Santoso,089859317461,
ORD100503,2025-07-10 00:00:00,snack box,4,60000,15000,Instagram,Budi Putri,084629960653,
ORD100831,2025-04-04 00:00:00,NasiBoxAyam,5,150000,30000,WhatsApp,Nina Santoso,084223253672,
ORD101751,2025-09-08 00:00:00,Salad ayam,4,120000,30000,Instagram,Kiki Permana,081473799650,
ORD100360,2025-04-20 00:00:00,Nasi box ayam,1,25000,25000,WhatsApp,Tono Wicaksono,088819148580,
ORD102394,2025-09-08 00:00:00,Snack Box,1,15000,15000,WhatsApp,Laras Budiyanto,081814124782,
ORD100341,2025-04-04 00:00:00,Nasi box vegan,2,60000,30000,WhatsApp,Sari Harto,080862118233,
ORD100199,,SoupSayur,3,60000,20000,WhatsApp,Ochi Putri,083184322259,
